ES-CONCHI;EN-CONCHI;VA-CONCHI;ES - F;EN - F;VA - F;ES - OTRO PERSONAJE;EN - OTRO PERSONAJE;VA - OTRO PERSONAJE;ES - F;EN - F;VA -F ;ES - OTRO PERSONAJE;EN - OTRO PERSONAJE;VA - OTRO PERSONAJE;ES - F;EN - F;VA -F ;ES - OTRO PERSONAJE;EN - OTRO PERSONAJE;VA - OTRO PERSONAJE;ES - F;EN - F;VA -F ;ES - OTRO PERSONAJE;EN - OTRO PERSONAJE;VA - OTRO PERSONAJE;ES - F;EN - F;VA -F ;ES - OTRO PERSONAJE;EN - OTRO PERSONAJE;VA - OTRO PERSONAJE;ES - F;EN - F;VA -F ;ES - OTRO PERSONAJE;EN - OTRO PERSONAJE;VA - OTRO PERSONAJE;ES - F;EN - F;VA -F ;ES - OTRO PERSONAJE;EN - OTRO PERSONAJE;VA - OTRO PERSONAJE;ES - F;EN - F;VA -F ;ES - OTRO PERSONAJE;EN - OTRO PERSONAJE;VA - OTRO PERSONAJE;ES - F;EN - F;VA -F ;ES - OTRO PERSONAJE;EN - OTRO PERSONAJE;VA - OTRO PERSONAJE;ES - F;EN - F;VA -F ;ES - OTRO PERSONAJE;EN - OTRO PERSONAJE;VA - OTRO PERSONAJE;ES - F;EN - F;VA -F ;ES - OTRO PERSONAJE;EN - OTRO PERSONAJE;VA - OTRO PERSONAJE;ES - F;EN - F;VA -F ;ES - OTRO PERSONAJE;EN - OTRO PERSONAJE;VA - OTRO PERSONAJE;ES - F;EN - F;VA -F ;ES - OTRO PERSONAJE;EN - OTRO PERSONAJE;VA - OTRO PERSONAJE;ES - F;EN - F;VA -F ;ES - OTRO PERSONAJE;EN - OTRO PERSONAJE;VA - OTRO PERSONAJE;ES - F;EN - F;VA -F ;ES - OTRO PERSONAJE;EN - OTRO PERSONAJE;VA - OTRO PERSONAJE;ES - F;EN - F;VA -F ;ES - OTRO PERSONAJE;EN - OTRO PERSONAJE;VA - OTRO PERSONAJE;ES - F;EN - F;VA -F ;ES - OTRO PERSONAJE;EN - OTRO PERSONAJE;VA - OTRO PERSONAJE;ES - F;EN - F;VA -F ;ES - OTRO PERSONAJE;EN - OTRO PERSONAJE;VA - OTRO PERSONAJE;ES - F;EN - F;VA -F ;ES - OTRO PERSONAJE;EN - OTRO PERSONAJE;VA - OTRO PERSONAJE;ES - F;EN - F;VA -F ;ES - OTRO PERSONAJE;EN - OTRO PERSONAJE;VA - OTRO PERSONAJE;ES - F;EN - F;VA -F ;ES - OTRO PERSONAJE;EN - OTRO PERSONAJE;VA - OTRO PERSONAJE;ES - F;EN - F;VA -F ;ES - OTRO PERSONAJE;EN - OTRO PERSONAJE;VA - OTRO PERSONAJE;ES - F;EN - F;VA -F ;ES - OTRO PERSONAJE;EN - OTRO PERSONAJE;VA - OTRO PERSONAJE;ES - F;EN - F;VA -F ;ES - OTRO PERSONAJE;EN - OTRO PERSONAJE;VA - OTRO PERSONAJE;ES - F;EN - F;VA -F ;ES - OTRO PERSONAJE;EN - OTRO PERSONAJE;VA - OTRO PERSONAJE;ES - F;EN - F;VA -F ;ES - OTRO PERSONAJE;EN - OTRO PERSONAJE;VA - OTRO PERSONAJE;ES - F;EN - F;VA -F ;ES - OTRO PERSONAJE;EN - OTRO PERSONAJE;VA - OTRO PERSONAJE;ES - F;EN - F;VA -F ;ES - OTRO PERSONAJE;EN - OTRO PERSONAJE;VA - OTRO PERSONAJE;ES - F;EN - F;VA -F ;ES - OTRO PERSONAJE;EN - OTRO PERSONAJE;VA - OTRO PERSONAJE;ES - F;EN - F;VA -F ;ES - OTRO PERSONAJE;EN - OTRO PERSONAJE;VA - OTRO PERSONAJE;ES - F;EN - F;VA -F ;ES - OTRO PERSONAJE;EN - OTRO PERSONAJE;VA - OTRO PERSONAJE;ES - F;EN - F;VA -F ;ES - OTRO PERSONAJE;EN - OTRO PERSONAJE;VA - OTRO PERSONAJE;ES - F;EN - F;VA -F ;ES - OTRO PERSONAJE;EN - OTRO PERSONAJE;VA - OTRO PERSONAJE;ES - F;EN - F;VA -F ;ES - OTRO PERSONAJE;EN - OTRO PERSONAJE;VA - OTRO PERSONAJE;ES - F;EN - F;VA -F ;ES - OTRO PERSONAJE;EN - OTRO PERSONAJE;VA - OTRO PERSONAJE;ES - F;EN - F;VA -F 
Febrero, un hombre hombre risueño del pueblo Castamere, es corpulento debido a sus años trabajando en la aldea, con una frondosa barba y siempre lleva puestas unas gafas que le regalaron por su cumpleaños.;;;;;;;;;Bueno, ya he acabado con el problema de las moscas, ahora a ver que se cuenta la gente del pueblo.;;;Anda, cuánto tiempo. A ver si vuelves a traer tú el trigo para la harina. Este nuevo proveedor me está dando problemas.;;;;;;¡Me lo estoy pasando en grande!;;;;;;Mis nietas son buenísimas a la comba. Espero que no se hagan daño. Tengo una tarta solo para ellas esperando.;;;;;;Esas niñas son muy molestas, la próxima vez mancharé a esas dos con mucho barro en su cara.;;;;;;Hace días que no pesco nada y estoy preocupado. Espero que mañana tenga una buena pesca.;;;;;;Buenas. ¿Desea algo?;;;;;;A ver cuando nos puedes arreglar una de las luces de la calle, que no para de parpadear.;;;;;;Uy, buenas. No tengo mucho que hacer y siempre vengo aquí a tomar algo. Cuando quieras vente y me haces compañía.;;;;;;Shh, no hagas mucho ruido. Cualquier cosa podría provocar un desprendimiento.;;;;;;;;;Hoy fue un día productivo, no me esperaba hablar con tanta gente hoy, las luces de las calles faltan arreglarse que no paran de parpadear tal como dijo el alcalde.;;;;;;¡Rayos! Me he olvidado de dejar mis gafas en la mesa otra vez y encima ahora me duele la cabeza. Bueno, no pasa nada, con una aspirina se me pasa enseguida.;;;Estoy preparando el pedido de Conchi y su nieta. A la niña le encanta el chocolate y a Conchi le gustan unas galletas.;;;;;;Podría tirarle del pelo o tirarle la pelota a la cara jejeje.;;;;;;Después del parque vayamos a la panadería. Tengo hambre.;;;;;;;;;Perdone. ¿Y su otra nieta? ¿Está bien?;;;Hoy es mi día de suerte. He pescado un atún. Que pez tan común.;;;;;;Shh, no hagas mucho ruido. Cualquier cosa podría provocar un desprendimiento.;;;;;;Buenas. ¿Desea algo?;;;;;;A ver cuando nos puedes arreglar una de las luces de la calle, que no para de parpadear.;;;;;;Buenas. Últimamente no tengo mucho trabajo. No sé qué hacer. Si te enteras de algo estaré aquí.;;;;;;Muchas gracias chicos! Ahora ya puedo cocinar tranquila.;;;;;;;;;Que alivio que se me pase ese dolor de cabeza tan molesto. Ahora si dejo mis gafas en la mesa para que no me molesten de nuevo.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
se levanta de la cama de su habitacion y empieza a escuchar zumbidos.;;;Otra vez esas malditas moscas por aqui.;;;;;;;;;;;;;;;¡Siii, es súper divertido! Aunque ese niño es muy molesto.;;;;;;;;;;;;;;;;;;;;;;;;;;;No, gracias.;;;;;;Por supuesto. Cuando haga un hueco lo miro. No se preocupe.;;;;;;;;;;;;Perdón…;;;;;;Espero que Conchi y las chicas se lo hayan pasado estupendo en su fiesta, y espero que el chico ese no cometa alguna travesura con su pelota.;;;;;;Me estoy quedando sin aspirinas, pronto tendré que ir a por una caja más, pero ahora solo iré a ver qué tal están los demás.;;;;;;¿Y qué hay de su otra nieta?;;;;;;O podrías dejarla en paz. Tanto a ella como a su hermana.;;;;;;Por supuesto cariño. No te preocupes.;;;¿Otra nieta? Yo solo tengo una y me es suficiente. Anda no me preocupes más de lo que estoy.;;;;;;;;;;;;;;;;;;;;;No, gracias;;;;;;Por supuesto. Cuando haga un hueco lo miro. No se preocupe.;;;;;;Buenas, me ha dicho Conchi que si podrías arreglar unas tuberías. ;;;;;;No hay de que, aquí estamos para ayudar.;;;;;;Hoy fue un día muy extraño, ¿Por qué todos parecen que se han olvidado de la hermana gemela? Y me alegra mucho haber arreglado las tuberías de la señora Conchi.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;¿No? Pues vaya.;;;;;;;;;;;;;;;;;;;;;¿Cómo lo llevas?;;;;;;¡Mañana va a ser un mejor día de seguro!;;;;;;;;;¿Qué otra nieta?;;;;;;¿Hermana? ¿Pero qué está diciendo abuelo? ¿Ya tiene problemas de memoria? Jajajaja.;;;;;;;;;;;;;;;Siento si la he preocupado más de la cuenta. Si quiere que la ayude en algo…;;;;;;;;;;;;;;; ¿No? Pues vaya.;;;;;;;;;;;;Esta mañana he tenido un pequeño accidente. Me costará bastante arreglar las tuberías, ¿Me podrías ayudar? ;;;;;;;;;¡Bueno, ha sido un placer pero me voy a mi casa, adiós!;;;;;;Espero que la hermana de la gemela se encuentre bien y no se haya perdido por allí.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Todo lo bien que puede llevarlo un minero.;;;;;;;;;;;;;;;;;;;;;La hermana gemela que va vestida de verde.;;;;;;;;;;;;;;;Pues la verdad es que tu ayuda me vendría muy bien, mira, justamente una tubería me ha explotado en la cocina y la tengo toda inundada;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;¡Claro! Por cierto, ¿A ti no te suena que Conchi tenía dos nietas?;;;¡Adiós!;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;¿Y tú?;;;Me voy a volver a casa para dormir un poco que me duele ligeramente la cabeza.;;;;;;;;;;;;;;;Pues creéme, pero si no me falla la memoria Conchi solo tiene una nieta.;;;;;;;;;;;;;;;;;;¿Si ves al fontanero podrías decirle que se pase por mi casa para arreglarla? Muchas gracias de verdad.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;¿Conchi, dos nietas? No me suena para nada.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;¡Adiós y descansa!;;;¡Adiós y ten cuidado!;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Uy, que raro a mi me sonaba que tenía dos nietas…;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ah, y si claro vamos, te ayudaré.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;;;;;;1;;;;;;2;;;;;;3;;;;;;3;;;;;;4;;;;;;5;;;;;;6;;;;;;7;;;;;;8;;;;;;9;;;;;;10;;;;;;11;;;;;;12;;;;;;13;;;;;;14;;;;;;14;;;;;;15;;;;;;16;;;;;;17;;;;;;18;;;;;;20;;;;;;21;;;;;;22;;;;;;23;;;;;;24;;;;;;25;;;;;;26;;;;;;27;;;;;;28;;;;;;29;;;;;;30;;;;;;31;;;;;;32;;;;;;33;;;;;;34;;;;;
